Player,Move,Brilliancy,Win,Time Taken,Kill Moves,Score
White,e3,Book,51.5,5,No,0
Black,(1)e5,Book,51.6,3,No,0
White,Bc4,Book,42.4,6,No,0
Black,(1)Nc6,Excellent,49.9,4,No,0
White,Qf3,Good,41.8,5,No,0
Black,..Nf6,Best,44.4,3,No,0
White,(1)e4,Mistake,28.8,6,No,0
Black,Bc5,Inaccuracy,39.3,4,No,0
White,d3,Good,28.9,5,No,0
Black,Nd4,Excellent,33.6,3,No,0
White,Qd1,Best,30.0,6,No,0
Black,O-O,Inaccuracy,48.8,4,No,0
White,c3,Best,47.9,5,No,0
Black,Nc6,Excellent,50.0,3,No,0
White,f4,Blunder,3.8,6,No,0
Black,d6,Miss,34.8,4,No,0
White,f5,Inaccuracy,10.0,5,No,0
Black,.a6,Mistake,43.8,3,No,0
White,.Nf3,Miss,23.8,6,No,0
Black,b5,Inaccuracy,39.6,4,No,0
White,Bb3,Best,33.3,5,No,0
Black,.Ng4,Mistake,55.9,3,No,0
White,(1)Qe2,Good,50.0,6,No,0
Black,h6,Good,46.1,4,No,0
White,c4,Mistake,34.5,5,No,0
Black,bxc4,Best,36.1,3,Yes,-1
White,Nf3,Excellent,51.2,2,No,-1
Black,(2)Nc6,Excellent,49.7,2,No,-1
White,Bb5,Good,47.5,2,No,-1
Black,a6,Good,48.1,2,No,-1
White,(1)O-O,Inaccuracy,49.0,3,No,-1
Black,.Nf6,Inaccuracy,48.5,3,No,-1
White,(1)c4,Mistake,46.7,3,No,-1
Black,.d6,Mistake,47.1,3,No,-1
White,e5,Brilliancy,50.4,2,No,-1
Black,Nxd4,Brilliancy,50.9,2,No,-1
White,(1)Nxd4,Blunder,45.1,3,No,-1
Black,exd4,Blunder,45.5,3,No,-1
White,.d3,Good,48.8,4,No,-1
Black,(1)Bd7,Good,49.2,4,No,-1
White,Qe2,Best,51.9,3,No,-1
Black,Qb6,Best,52.5,3,No,-1
White,Re1,Excellent,53.6,5,No,-1
Black,(1)Bb7,Excellent,54.2,5,No,-1
White,.f4,Miss,51.1,4,No,-1
Black,g6,Miss,51.5,4,No,-1
White,Nge2,Inaccuracy,49.4,5,No,-1
Black,Bg7,Inaccuracy,49.7,5,No,-1
White,h4,Book,50.0,3,No,-1
Black,h5,Book,50.0,3,No,-1
White,.g4,Brilliancy,50.3,4,No,-1
Black,Ng4,Brilliancy,50.8,4,No,-1
White,hxg5,Blunder,44.9,5,No,-1
Black,Nxg5,Blunder,45.3,5,No,-1
White,Qxg5,Good,48.6,6,No,-1
Black,Rg8,Good,49.0,6,No,-1
White,Rh3,Best,51.7,5,No,-1
Black,Rxh3+,Best,52.3,5,No,-1
White,(1)Kf2,Excellent,53.4,7,No,-1
Black,Qxg3,Excellent,54.0,7,No,-1
White,Bxc4,Best,36.4,6,Yes,2
Black,Bb4+,Mistake,47.1,4,No,2
White,Nc3,Good,46.3,5,No,2
Black,Bxc3+,Good,55.6,3,Yes,-1
White,bxc3,Best,54.4,6,Yes,0
Black,Bb7,Good,57.1,4,No,0
White,Be3,Inaccuracy,50.5,5,No,0
Black,Na5,Best,50.3,3,No,0
White,Bd5,Good,43.4,6,No,0
Black,Bxd5,Best,42.9,4,Yes,-3
White,exd5,Best,42.3,5,Yes,-2
Black,Qe7,Inaccuracy,51.0,3,No,-2
White,h3,Excellent,44.1,6,No,-2
Black,Nf6,Best,45.0,4,No,-2
White,g4,Best,42.3,5,Yes,-1
Black,e4,Inaccuracy,31.0,3,No,-1
White,dxe4,Inaccuracy,29.3,6,Yes,0
Black,Bxe4,Inaccuracy,39.4,4,Yes,-3
White,.Qd3,Mistake,23.9,5,No,-3
Black,Qf6,Blunder,82.4,3,No,-3
White,Qxe4,Great,82.5,6,Yes,6
Black,Qxc3+,Inaccuracy,96.1,4,Yes,-3
White,Kf2,Best,93.6,5,No,-3
Black,Rfe8,Best,94.1,3,No,-3
White,Qf4,Good,94.1,6,No,-3
Black,Nc4,Good,93.7,4,No,-3
White,Rae1,Mistake,64.3,5,No,-3
Black,Qc2+,Miss,97.9,3,No,-3
White,Re2,Great,94.1,6,No,-3
Black,Qd3,Excellent,99.2,4,No,-3
White,Rhe1,Mistake,66.4,5,No,-3
Black,g5,Miss,99.8,3,No,-3
White,fxg6,Excellent,99.8,6,Yes,-2
Black,fxg6,Best,99.8,4,Yes,-3
White,Qxh6,Inaccuracy,99.8,5,Yes,6
Black,Qxd5,Blunder,100.0,3,Yes,-3
White,Qxg6+,Best,100.0,6,Yes,6
Black,Kf8,Inaccuracy,100.0,4,No,6
White,Bh6#,Best,100.0,6,No,6
